episode,stage,map,agents,complexity,success,reward,steps,avg_loss,avg_epsilon,moving_cost,detour_pct
31,0,map_15,16,1.4139000000000002,1,0.0,1,0.0,0.0,1.0,0.0
32,0,map_4,4,1.4877,0,-10.299999999999953,370,0.0002740422470909638,0.6881049999998822,0.0,0.0
33,0,map_11,8,1.4939,1,-0.11,2,0.00013082260556984693,0.671409999999874,2.0,100.0
34,0,map_8,8,1.4477,1,-3.0099999999999842,192,0.00037463629211900094,0.6627699999998709,7.384615384615385,638.4615384615385
35,0,map_12,16,1.3677000000000001,1,-1.3300000000000005,114,0.0005577828624879166,0.6490899999998654,3.6774193548387095,267.741935483871
36,0,map_1,2,1.5231,1,-4.239999999999989,185,0.0006026448524568442,0.6357249999998603,5.78125,386.84210526315786
37,0,map_10,8,1.4785,1,0.0,1,0.0,0.0,1.0,0.0
38,0,map_13,16,1.3831,1,-1.2300000000000004,44,0.000489557184262721,0.6255099999998565,7.333333333333333,450.0
39,0,map_0,2,1.5077,0,-10.899999999999938,440,0.0002090305532047668,0.6037749999998486,0.0,0.0
40,0,map_5,4,1.5030999999999999,1,-3.6899999999999875,160,0.0002791991609222997,0.5768199999998371,8.88888888888889,788.8888888888889
41,0,map_9,8,1.4630999999999998,1,-6.809999999999989,232,0.0005022057024870386,0.5592699999998312,10.545454545454545,625.0
42,0,map_6,4,1.5185,1,-0.35000000000000003,6,0.0003180799860274419,0.548649999999827,6.0,500.0
43,0,map_14,16,1.3985,1,0.30000000000000016,31,0.0004485352993166695,0.5470749999998265,3.875,121.42857142857142
44,0,map_15,16,1.4139000000000002,1,-0.66,7,0.00038438477107168484,0.5454549999998257,7.0,600.0
45,0,map_4,4,1.4877,1,1.5600000000000003,105,0.0004728941621578997,0.5405049999998235,2.3863636363636362,138.63636363636365
46,0,map_11,8,1.4939,1,-0.66,7,0.0005685661502260094,0.535554999999822,7.0,600.0
47,0,map_8,8,1.4477,1,-2.1300000000000003,64,0.0007997956311714554,0.5324499999998208,3.2,220.00000000000003
48,0,map_12,16,1.3677000000000001,0,-11.59999999999994,530,0.0002824830233019487,0.505764999999812,0.0,0.0
49,0,map_1,2,1.5231,1,-0.2699999999999996,98,0.00036579212265331587,0.4775499999998136,3.0625,157.89473684210526
50,0,map_10,8,1.4785,1,-0.24,5,0.000467133242636919,0.47300499999981466,2.5,150.0
51,0,map_13,16,1.3831,1,-4.159999999999993,117,0.00043306641556886585,0.46760499999981603,14.625,1070.0
52,0,map_0,2,1.5077,1,0.2700000000000001,84,0.0005510468572428651,0.4586499999998177,3.230769230769231,223.0769230769231
53,0,map_5,4,1.5030999999999999,1,-0.04000000000000004,25,0.0006270700499347489,0.4538349999998191,4.166666666666667,212.5
54,0,map_9,8,1.4630999999999998,1,-1.3100000000000007,82,0.0006909333884480329,0.44910999999982026,3.4166666666666665,241.66666666666666
