map_size,map_area,num_agents,agent_density,density,FRA,FRA_sq,FDA,FDA_sq,FRAxFDA,FRA_per_area,FDA_per_area,FRAxAgentDens,FDAxAgentDens,BN,MC,pred_raw,complexity_calibrated,curriculum_stage,success_rate
32,1024,8,0.0078125,0.3,0.6492659053833605,0.4215462158932748,0.5986328125,0.35836124420166016,0.388671875,0.000634048735725938,0.0005846023559570312,0.005072389885807504,0.00467681884765625,0.094827586,1.0,0.7948423,0.60330576,2,0.825
32,1024,8,0.0078125,0.5,0.5010799136069114,0.2510810798203098,0.4521484375,0.2044382095336914,0.22656249999999997,0.0004893358531317494,0.00044155120849609375,0.003914686825053995,0.00353240966796875,0.094827586,1.0,0.94680154,0.21487604,0,0.815
32,1024,8,0.0078125,0.7,0.2988505747126437,0.08931166600607744,0.2548828125,0.06496524810791016,0.076171875,0.0002918462643678161,0.00024890899658203125,0.002334770114942529,0.00199127197265625,0.094827586,1.0,0.9881844,0.099173546,0,0.995
32,1024,16,0.015625,0.7,0.3118466898954704,0.09724835799876166,0.2802734375,0.0785531997680664,0.08740234375,0.0003045377831010453,0.00027370452880859375,0.004872604529616725,0.0043792724609375,0.094827586,1.0,0.93468326,0.28099176,1,0.945
32,1024,16,0.015625,0.5,0.4859002169197396,0.23609902080265002,0.4501953125,0.20267581939697266,0.21874999999999997,0.0004745119305856832,0.00043964385986328125,0.0075921908893709315,0.0070343017578125,0.094827586,1.0,0.9127867,0.3471074,1,0.9
32,1024,16,0.015625,0.3,0.7106446776611695,0.5050158578881474,0.6513671875,0.42427921295166016,0.462890625,0.0006939889430284858,0.0006361007690429688,0.011103823088455773,0.0101776123046875,0.094827586,1.0,0.7393438,0.8512397,3,0.735
32,1024,16,0.015625,0.1,0.8869987849331713,0.7867668444729223,0.8037109375,0.6459512710571289,0.712890625,0.0008662097509113001,0.0007848739624023438,0.013859356014580802,0.0125579833984375,0.094827586,1.0,0.75525403,0.785124,3,0.77
64,4096,16,0.00390625,0.1,0.8824127906976744,0.7786523331868578,0.83984375,0.7053375244140625,0.7410888671875,0.00021543281022892442,0.00020503997802734375,0.0034469249636627907,0.0032806396484375,0.067396313,1.0,0.7177077,0.91322315,3,0.715
64,4096,16,0.00390625,0.3,0.6920810313075506,0.47897615389572284,0.662841796875,0.43935924768447876,0.458740234375,0.00016896509553406997,0.00016182661056518555,0.0027034415285451196,0.0025892257690429688,0.376860119047619,0.0344827586206896,0.7899333,0.6322314,2,0.72
64,4096,16,0.00390625,0.5,0.5046201232032854,0.25464146874169896,0.4755859375,0.2261819839477539,0.239990234375,0.0001231982722664271,0.00011610984802246094,0.0019711723562628337,0.001857757568359375,0.7036458333333333,0.003521127,0.93878806,0.2520661,1,0.94
64,4096,16,0.00390625,0.7,0.3021295474711624,0.09128226345512937,0.275146484375,0.07570558786392212,0.0831298828125,7.376209655057675e-05,6.717443466186523e-05,0.001180193544809228,0.0010747909545898438,0.9131190269331017,0.00203666,0.9746307,0.15289256,0,0.98
64,4096,8,0.001953125,0.7,0.3269881556683587,0.10692125394739478,0.28857421875,0.08327507972717285,0.0943603515625,7.983109269247039e-05,7.045269012451172e-05,0.0006386487415397631,0.0005636215209960938,0.9131190269331017,0.00203666,0.99014133,0.03719008,0,0.99
64,4096,8,0.001953125,0.5,0.49795605518651,0.24796023289691058,0.477783203125,0.228276789188385,0.2379150390625,0.00012157130253576904,0.00011664628982543945,0.0009725704202861523,0.0009331703186035156,0.7036458333333333,0.003521127,0.8678973,0.4090909,1,0.88
