algo,stage_idx,config_id,config_json,size,num_agents,density,obs_radius,max_episode_steps,density_actual,LDD,BN,MC,DLR,success_rate,grid_hash,episodes_per_stage,FRA,FPA
CL-Gray3D,2,sz32_a2_d0.50,"{""obs_radius"":5,""density"":0.5,""size"":32,""num_agents"":2,""max_episode_steps"":100}",32,2,0.5,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.007985683,0.99,b6d75382fb9dd408,200,0.47345132743362833,0.44140625
CL-Gray3D,3,sz32_a2_d0.70,"{""obs_radius"":5,""density"":0.7,""size"":32,""num_agents"":2,""max_episode_steps"":100}",32,2,0.7,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.007985683,1.0,b6d75382fb9dd408,200,0.29844961240310075,0.251953125
CL-Gray3D,4,sz32_a4_d0.70,"{""obs_radius"":5,""density"":0.7,""size"":32,""num_agents"":4,""max_episode_steps"":100}",32,4,0.7,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.975,b6d75382fb9dd408,200,0.30918727915194344,0.2763671875
CL-Gray3D,5,sz32_a4_d0.50,"{""obs_radius"":5,""density"":0.5,""size"":32,""num_agents"":4,""max_episode_steps"":100}",32,4,0.5,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.9,b6d75382fb9dd408,200,0.4924892703862661,0.455078125
CL-Gray3D,6,sz32_a4_d0.30,"{""obs_radius"":5,""density"":0.3,""size"":32,""num_agents"":4,""max_episode_steps"":100}",32,4,0.3,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.86,b6d75382fb9dd408,200,0.6494252873563219,0.5947265625
CL-Gray3D,7,sz32_a4_d0.10,"{""obs_radius"":5,""density"":0.1,""size"":32,""num_agents"":4,""max_episode_steps"":100}",32,4,0.1,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.76,b6d75382fb9dd408,200,0.8801955990220048,0.798828125
CL-Gray3D,8,sz32_a8_d0.10,"{""obs_radius"":5,""density"":0.1,""size"":32,""num_agents"":8,""max_episode_steps"":100}",32,8,0.1,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.72,b6d75382fb9dd408,200,0.8782129742962056,0.7978515625
CL-Gray3D,9,sz32_a8_d0.30,"{""obs_radius"":5,""density"":0.3,""size"":32,""num_agents"":8,""max_episode_steps"":100}",32,8,0.3,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.78,b6d75382fb9dd408,200,0.6492659053833605,0.5986328125
CL-Gray3D,10,sz32_a8_d0.50,"{""obs_radius"":5,""density"":0.5,""size"":32,""num_agents"":8,""max_episode_steps"":100}",32,8,0.5,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.965,b6d75382fb9dd408,200,0.5010799136069114,0.4521484375
CL-Gray3D,11,sz32_a8_d0.70,"{""obs_radius"":5,""density"":0.7,""size"":32,""num_agents"":8,""max_episode_steps"":100}",32,8,0.7,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.995,b6d75382fb9dd408,200,0.2988505747126437,0.2548828125
