algo,stage_idx,config_id,config_json,size,num_agents,density,obs_radius,max_episode_steps,density_actual,LDD,BN,MC,DLR,success_rate,grid_hash,episodes_per_stage
CL-Gray3D,35,sz96_a2_d0.70,"{""max_episode_steps"":100,""size"":96,""density"":0.7,""num_agents"":2,""obs_radius"":5}",96,2,0.7,5,100,0.7121310763888888,0.032482242,0.9227289860535243,0.000853971,0.004728825,0.995,6dd0c6686c628ec1,200
CL-Gray3D,36,sz96_a4_d0.70,"{""max_episode_steps"":100,""size"":96,""density"":0.7,""num_agents"":4,""obs_radius"":5}",96,4,0.7,5,100,0.7121310763888888,0.032482242,0.9227289860535243,0.000853971,0.018915300288981026,0.735,6dd0c6686c628ec1,200
CL-Gray3D,37,sz96_a4_d0.50,"{""max_episode_steps"":100,""size"":96,""density"":0.5,""num_agents"":4,""obs_radius"":5}",96,4,0.5,5,100,0.5194227430555556,0.042673273751880535,0.6965454955972002,0.001636661,0.009241881,0.925,504d0ab148124ead,200
CL-Gray3D,38,sz96_a4_d0.30,"{""max_episode_steps"":100,""size"":96,""density"":0.3,""num_agents"":4,""obs_radius"":5}",96,4,0.3,5,100,0.3288845486111111,0.037856964,0.3516572352465643,0.011764705882352941,0.005139282,0.835,99b80bb8a5c0b1b8,200
CL-Gray3D,39,sz96_a4_d0.10,"{""max_episode_steps"":100,""size"":96,""density"":0.1,""num_agents"":4,""obs_radius"":5}",96,4,0.1,5,100,0.1362847222222222,0.019740715,0.060301508,1,0.002831868,0.625,aff34a165045f99f,200
CL-Gray3D,40,sz96_a8_d0.10,"{""max_episode_steps"":100,""size"":96,""density"":0.1,""num_agents"":8,""obs_radius"":5}",96,8,0.1,5,100,0.1362847222222222,0.019740715,0.060301508,1,0.011327470686767168,0.71,aff34a165045f99f,200
CL-Gray3D,0,sz32_a2_d0.10,"{""obs_radius"":5,""density"":0.1,""size"":32,""num_agents"":2,""max_episode_steps"":100}",32,2,0.1,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.007985683,0.795,b6d75382fb9dd408,200
CL-Gray3D,1,sz32_a2_d0.30,"{""obs_radius"":5,""density"":0.3,""size"":32,""num_agents"":2,""max_episode_steps"":100}",32,2,0.3,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.007985683,0.88,b6d75382fb9dd408,200
CL-Gray3D,2,sz32_a2_d0.50,"{""obs_radius"":5,""density"":0.5,""size"":32,""num_agents"":2,""max_episode_steps"":100}",32,2,0.5,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.007985683,0.99,b6d75382fb9dd408,200
CL-Gray3D,3,sz32_a2_d0.70,"{""obs_radius"":5,""density"":0.7,""size"":32,""num_agents"":2,""max_episode_steps"":100}",32,2,0.7,5,100,0.20703125,0.030569085797584338,0.094827586,1,0.007985683,1,b6d75382fb9dd408,200
