Episode,Map,Size,Agents,Density,Reward,Moving Cost,Detour Percentage,Average Loss,Average Epsilon,Success
8,map_1,32,2,0.3,-5.0999999999999925,0.0,0.0,0.0002113142639315741,0.8658100000000316,0
9,map_1,32,2,0.3,-8.5,0.0,0.0,0.00016786628891298148,0.8415100000000368,0
0,map_10,32,8,0.5,0.0,1.0,0.0,0.0,0.0,1
1,map_10,32,8,0.5,-4.299999999999996,0.0,0.0,0.002601762309980889,0.9945100000000016,0
2,map_10,32,8,0.5,-3.3999999999999955,0.0,0.0,0.0006491760118348923,0.9828100000000041,0
3,map_10,32,8,0.5,-4.8999999999999995,0.0,0.0,0.0003336878893605899,0.9693100000000078,0
4,map_10,32,8,0.5,-0.7599999999999999,4.25,325.0,0.0003650144462881144,0.9606700000000091,1
5,map_10,32,8,0.5,-5.599999999999995,0.0,0.0,0.0003420445472875144,0.9502300000000113,0
6,map_10,32,8,0.5,-0.44,5.0,400.0,0.0002459464412822854,0.9408700000000139,1
7,map_10,32,8,0.5,-8.000000000000002,0.0,0.0,0.0001881703854451189,0.9297100000000161,0
8,map_10,32,8,0.5,-2.779999999999999,19.5,1850.0,0.00016829272231246394,0.9154900000000197,1
9,map_10,32,8,0.5,-0.01999999999999999,1.5,50.0,0.0003182255895808339,0.9118900000000205,1
0,map_11,32,8,0.7,-3.659999999999998,23.5,2250.0,0.0010470009969456282,0.9957700000000014,1
1,map_11,32,8,0.7,-0.33,4.0,300.0,0.0011859371249253552,0.991360000000002,1
2,map_11,32,8,0.7,-0.13,2.0,100.0,0.00156864442396909,0.9908200000000021,1
3,map_11,32,8,0.7,-0.22,3.0,200.0,0.0013802061439491808,0.9903700000000022,1
4,map_11,32,8,0.7,-0.33,4.0,300.0,0.0010686694683196645,0.9899200000000024,1
5,map_11,32,8,0.7,-0.01999999999999999,1.5,50.0,0.0016512081492692232,0.9894700000000025,1
6,map_11,32,8,0.7,-0.45999999999999996,7.0,600.0,0.0014069824052664142,0.9887500000000026,1
7,map_11,32,8,0.7,-0.11,2.0,100.0,0.0014137917896732688,0.9881200000000028,1
8,map_11,32,8,0.7,-0.13,4.0,300.0,0.0012519063893705606,0.9877600000000029,1
9,map_11,32,8,0.7,-2.5699999999999994,28.0,2700.0,0.0010088070412166417,0.9850600000000036,1
0,map_12,32,16,0.1,-2.8999999999999977,0.0,0.0,0.0026233973505441098,0.9954100000000012,0
1,map_12,32,16,0.1,-2.499999999999997,0.0,0.0,0.0006130168621893972,0.9855100000000033,0
2,map_12,32,16,0.1,-2.1000000000000005,0.0,0.0,8.021026504658428e-05,0.973810000000006,0
3,map_12,32,16,0.1,-2.399999999999998,0.0,0.0,0.00023301543405978008,0.9603100000000092,0
4,map_12,32,16,0.1,-3.099999999999993,0.0,0.0,0.0002848629395884927,0.9450100000000129,0
5,map_12,32,16,0.1,-3.0999999999999934,0.0,0.0,0.00037248237847961716,0.9279100000000162,0
6,map_12,32,16,0.1,-4.299999999999993,0.0,0.0,0.00014366187937081453,0.9090100000000212,0
7,map_12,32,16,0.1,-4.3999999999999915,0.0,0.0,0.0001606570514316748,0.8883100000000259,0
8,map_12,32,16,0.1,-3.199999999999991,0.0,0.0,0.0002619608167151455,0.8658100000000316,0
9,map_12,32,16,0.1,-4.699999999999993,0.0,0.0,0.0003132765235932311,0.8415100000000368,0
0,map_13,32,16,0.3,-1.2000000000000002,0.0,0.0,0.006008218256174587,0.9954100000000012,0
1,map_13,32,16,0.3,-2.8999999999999977,0.0,0.0,0.0015031075725952783,0.9855100000000033,0
2,map_13,32,16,0.3,-0.22,3.0,200.0,0.0011473214835859835,0.9799300000000046,1
